class,tweet
offensive_language,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
offensive_language,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh"
offensive_language,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
offensive_language,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
offensive_language,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds."""
offensive_language,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
offensive_language,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
offensive_language,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;"
offensive_language,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
offensive_language,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
offensive_language,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
hate_speech,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
offensive_language,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows"
offensive_language,"""@Dietrich1892: Yall shut up:p"" make me bitch"
offensive_language,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch."""
offensive_language,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3"
neither,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started"
offensive_language,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu.."""
offensive_language,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
neither,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms."""
neither,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
neither,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures."
offensive_language,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol"
neither,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha"
offensive_language,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot"
neither,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup"
offensive_language,"""@G27Status: I could go for a fat ass bitch on my lap"" same"
offensive_language,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
offensive_language,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
offensive_language,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah"
offensive_language,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh"
offensive_language,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
offensive_language,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
offensive_language,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
offensive_language,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao"
offensive_language,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;"""
offensive_language,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!"
offensive_language,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up"""
offensive_language,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;"""
offensive_language,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
offensive_language,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
neither,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc"
offensive_language,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
offensive_language,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu"
offensive_language,"""@HoskinsTy96: White boy power bitch"" black power bitch"
offensive_language,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."
offensive_language,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?"
offensive_language,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *"
offensive_language,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot."""
offensive_language,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe"
neither,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs"
offensive_language,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do"
offensive_language,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
offensive_language,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3"
offensive_language,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH"
offensive_language,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
offensive_language,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
offensive_language,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch"""
offensive_language,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"
neither,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
offensive_language,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
offensive_language,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"
offensive_language,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me."
offensive_language,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY"
offensive_language,"""@KissMySmilee: Don't got time for bitches to be actin iffy."""
neither,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
offensive_language,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them"
offensive_language,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
offensive_language,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"
offensive_language,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;"
offensive_language,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
offensive_language,"""@Latrobemark: You love these hoes more then money wats wrong these niggas"""
offensive_language,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
offensive_language,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !"
offensive_language,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen."
offensive_language,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho"
offensive_language,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?"""
offensive_language,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB"
offensive_language,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now"
offensive_language,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em"
offensive_language,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;"
neither,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum"
neither,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04"
offensive_language,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT"
offensive_language,"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
hate_speech,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers"
offensive_language,"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent"
neither,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept."
neither,"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles"
neither,"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches."
offensive_language,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel"
neither,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol"
offensive_language,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch"
offensive_language,"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
offensive_language,"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!"
offensive_language,"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*"
offensive_language,"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody."
neither,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate"
offensive_language,"""@MvckFadden: ""Stay beautiful you bitch"""""
offensive_language,"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"
offensive_language,"""@NastyCopper: Money getting taller and bitches getting blurry"""
offensive_language,"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;"
offensive_language,"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh."
hate_speech,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao"
offensive_language,"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol"
hate_speech,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
neither,"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf"
offensive_language,"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
offensive_language,"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK"""
offensive_language,"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;"""
offensive_language,"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
offensive_language,"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
offensive_language,"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy"
offensive_language,"""@Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
offensive_language,"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh"
offensive_language,"""@Poobie_: When bitches TWERK on the computer....

ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;"""""
offensive_language,"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!"
neither,"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
offensive_language,"""@QUAN1T0: These bitches don't care they just play that role."""
offensive_language,"""@Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro."
hate_speech,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag"
neither,"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo"
neither,"""@RamBoutIt: &#8220;@Master11_: @20ToLife_ @RamBoutIt hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know"
offensive_language,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
offensive_language,"""@RenegadeMo: Fat hoes get chose"" lol"
offensive_language,"""@RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal"
offensive_language,"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG"
offensive_language,"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
offensive_language,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
offensive_language,"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*"
offensive_language,"""@Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
offensive_language,"""@SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't"
offensive_language,"""@Shaa_Jenkins: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"
offensive_language,"""@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;"""
offensive_language,"""@SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real"
offensive_language,"""@ShowArrive: Side hoes are for insecure niggas that can't handle a real one."""
offensive_language,"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;"
offensive_language,"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;"""
offensive_language,"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;"
offensive_language,"""@SmeegBaby: Dese hoes be LYIN to all of us nigga"""
offensive_language,"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch"
neither,"""@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
neither,"""@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch"
offensive_language,"""@StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
neither,"""@Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad"
offensive_language,"""@Strap__: I ain't sharing no bitch if you mines you mines &#128175;"""
offensive_language,"""@SukMySweetness: money only impress the simple broke bitches"""
offensive_language,"""@Sylvieamx: #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"
neither,"""@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;"
neither,"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;"
offensive_language,"""@TayKnosBest: These hoes is crazy"""
offensive_language,"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:"
offensive_language,"""@ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch."
offensive_language,"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
offensive_language,"""@TheNewSAT: #NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
@machinegunkelly"
offensive_language,"""@TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right"
offensive_language,"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
offensive_language,"""@TheRealRickyB21: @JetsAndASwisher @Gook____ y'all come through the front.""bitch I ain't coming"
offensive_language,"""@TheRealRickyB21: @JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH"
offensive_language,"""@The_Realist_Sam: @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5"
neither,"""@Theo17100: http://t.co/BYj1HOyhmG"" this scally lad would get it"
hate_speech,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger"
